,DETECTION-TIME,USB-ID,MACHINE-NAME
0,2021-02-18 17:32:08.826512,USB\VID_0781&PID_5567\4C530001320114100270,DESKTOP-CETLII7
1,2021-02-18 17:32:22.692569,USB\VID_054C&PID_05BA\CB071032212315CF02,DESKTOP-CETLII7
